CHAT_ID,SPEAKER_ID,GROUP,TOPIC,OFFTOPIC,Q1,Q2,Q3,Q4,Q5
48,40,1,movies,0,1,1,1,3,3
48,44,1,movies,0,1,1,1,3,3
47,43,1,movies,0,2,1,1,3,3
46,41,1,movies,0,1,1,1,2,3
57,59,3,literature,0,2,1,1,3,3
56,60,3,literature,school,1,1,2,1,1
56,57,3,literature,school,2,1,2,3,3
52,69,3,literature,0,2,1,2,1,3
58,52,3,literature,career,1,1,2,3,3
60,67,3,literature,0,2,1,1,3,3
50,51,3,literature,school,1,1,2,3,3
53,50,3,literature,jokes,1,1,1,3,3
61,64,3,literature,0,1,1,2,2,3
59,65,3,literature,school,2,1,2,2,2
53,50,3,literature,jokes,1,1,1,3,3
51,56,3,literature,school,2,1,2,3,1
49,49,3,literature,0,1,1,1,2,2
53,54,3,literature,jokes,2,1,2,1,1
51,63,3,literature,school,1,1,2,3,3
58,55,3,literature,career,1,1,1,3,3
59,58,3,literature,school,2,1,2,3,3
60,53,3,literature,0,2,1,1,2,3
57,70,3,literature,0,2,2,1,3,1
61,62,3,literature,0,1,1,1,1,1
61,62,3,literature,0,1,1,1,1,1
64,60,3,sports,school,2,1,2,2,3
50,66,3,literature,school,1,1,2,1,3
49,61,3,literature,0,2,1,1,1,1
65,58,3,sports,0,1,1,1,1,1
72,55,3,sports,0,1,1,2,1,1
65,50,3,sports,0,1,2,1,3,2
70,57,3,sports,0,1,1,1,3,3
64,63,3,sports,school,1,1,2,1,3
72,64,3,sports,0,1,1,2,3,3
66,69,3,sports,0,1,1,1,3,3
70,49,3,sports,0,1,1,1,3,3
68,52,3,sports,miscellaneous,1,1,2,3,3
67,59,3,sports,0,2,1,1,1,1
71,56,3,sports,career,1,1,2,3,3
63,54,3,sports,0,2,2,1,1,1
69,70,3,sports,0,1,1,1,1,1
73,53,3,sports,0,2,2,1,3,1
62,66,3,sports,school,1,1,2,3,3
68,67,3,sports,miscellaneous,1,1,2,3,3
65,58,3,sports,0,1,1,2,3,3
69,51,3,sports,0,1,1,1,2,3
66,62,3,sports,0,1,1,1,3,3
73,71,3,sports,0,2,1,2,1,3
62,61,3,sports,school,1,1,2,3,3
83,55,3,tv,miscellaneous,1,2,2,1,1
86,56,3,tv,0,2,1,1,3,3
78,51,3,tv,0,1,1,2,3,3
78,65,3,tv,0,2,1,1,1,1
75,60,3,tv,0,1,1,2,2,3
86,69,3,tv,0,1,1,2,1,3
76,59,3,tv,technology,2,1,1,1,1
80,62,3,tv,0,1,1,1,3,3
84,63,3,tv,sports,1,1,2,1,1
77,57,3,tv,0,1,1,1,3,1
74,67,3,tv,0,2,1,2,1,3
79,49,3,tv,jokes,1,1,2,3,3
81,61,3,tv,0,1,2,1,1,1
77,50,3,tv,0,1,1,1,3,3
74,66,3,tv,0,2,1,2,3,3
75,58,3,tv,0,1,1,2,3,2
87,95,2,food,0,1,1,1,3,1
91,88,2,food,0,1,1,1,1,3
90,94,2,food,0,2,1,1,3,3
89,86,2,food,0,2,1,1,3,2
89,87,2,food,0,1,1,1,1,3
88,92,2,food,0,1,1,1,3,2
87,91,2,food,0,1,1,1,2,3
88,93,2,food,0,1,1,1,3,3
90,90,2,food,0,2,1,1,3,1
91,89,2,food,0,1,1,1,2,3
92,95,2,traveling,0,1,1,1,2,3
93,92,2,traveling,0,1,1,1,2,3
96,88,2,traveling,0,1,1,1,3,3
92,86,2,traveling,0,1,1,1,1,1
94,91,2,traveling,0,1,1,1,3,3
96,93,2,traveling,0,1,1,1,3,3
93,94,2,traveling,0,1,1,1,3,1
95,89,2,traveling,0,1,1,1,3,2
94,90,2,traveling,0,1,1,1,2,3
95,87,2,traveling,0,1,1,1,3,3
